statement,verdict,sentiment
John McCain opposed bankruptcy protection family bankruptcy medical expense couldnt pay,true,0.0762
Bennie Thompson actively cheerled riot ’90s,false,0.0516
Says Maggie Hassan state 30 day last three month,mostly-true,0.0
BUSTED CDC Inflated COVID Numbers Accused Violating Federal Law,false,-0.6908
Im Republican candidate actually reduced size government,half-true,0.0
There actually 30 country practice birthright citizenship,true,0.0
My husband I never gotten penny money farm,false,0.0
If go strictly number crime across board Last year 10 percent decrease serious crime,true,-0.7906
The American people say dont touch Social Security dont touch Medicare dont cut defense Thats 84 percent federal budget,mostly-true,-0.1511
Since 1978 CEO compensation rose 1000 119 average worker,true,0.0
Says accomplishment include fiscally responsible budget agreement control state spending,pants-fire,0.6705
Says President Obama’s deal allows Iran produce nuclear weapon,false,-0.296
Says Donald Trump say climate change hoax invented Chinese,mostly-true,-0.2732
At least 450000 ballot key state  miraculously mark Joe Biden candidate,false,0.0
More 70 percent American adult committed crime could lead imprisonment,mostly-true,-0.34
Says stimulus bill sent tax credit overseas 12 billion solar company thats building plant Mexico,pants-fire,0.3818
Tampa Bay is leading state job creation,mostly-false,0.2732
Says Raphael Warnock said need open prison eliminate cash bail,mostly-false,-0.5106
The IRS going charge huge national database health care include Americans’ personal intimate closetothevestsecrets,pants-fire,0.6705
Newly discovered video show late night delivery ten thousand illegal ballot 8 hour deadline,false,-0.5574
Says Donald Trump literally plan make higher education affordable,mostly-true,0.0
Post say recent bill passed We get another stimulus check 2500 July 30 2021,pants-fire,0.0
With voting mail get thousand thousand people sitting somebody living room signing ballot place,false,0.0
During governorship Virginia made largest investment ever K12 education,mostly-false,0.0
In entire public school system Camden last year three student graduated college ready,mostly-true,0.3612
Says is cutting illegal immigration half,false,-0.6249
There racism physically built highway,true,-0.6249
Austin 1000 city employee make sixfigure salary,mostly-true,0.0
Says Marco Rubio 98 percent voting record Koch brother,mostly-true,0.0
Says John Bolton fundamentally man left,pants-fire,0.0
A German doctor discovered COVID19 vaccine include graphene oxide graphene hydroxide full list ingredient secret emergency use authorization,false,-0.3818
Says lived colonia working farm worker,false,0.0
The Republicans demanded deep cut education Theyve demanded cut cancer research research find cure treatment disease,mostly-true,-0.886
75 Republicans vaccinated COVID19 Illinois,false,0.0
Creating 25 job Umatilla County impact 500 job metro region,mostly-true,0.296
When I become nominee Democratic nominee I prochoice candidate ballot,mostly-true,0.0
Financial conflictofinterest law dont apply president right So president doesnt blind trust,true,-0.0465
Says JB Pritzker’s tax plan includes new tax per mile drive government tracking device,false,0.0
Given expansive program already expanding Medicaid New Jersey due Obamacare relatively small expansion,mostly-true,0.0
Says federal judge sanction Tennessee ‘birther’ lawyer … bringing frivolous lawsuit,true,-0.2263
On new dollar coin In God We Trust gone,false,0.6597
Says 1 million signature submitted attempt recall Gov Scott Walker,false,0.0
All billionaire America net worth combined … increased 800 billion pandemic,mostly-true,0.4588
AfricanAmericans dont use drug higher level white wind going prison six time,mostly-true,-0.5106
PWNED House GOP Dominates Twitter YouTube Social Media Congress,true,0.0516
This year federal government revenue year history country,half-true,0.0
Says exMinneapolis officer accused killing George Floyd commits suicide prison cell,pants-fire,-0.936
59 percent Americans today believe Barack Obama still Muslim,false,0.0
The average age plane Qatar Airways fleet four year Delta Air Lines fly plane 35 year old,mostly-false,0.0
Louisiana’s film incentive program big actually shot upcoming film initially titled ‘Don’t Mess With Texas’ New Orleans,half-true,0.0
Hillary Clinton said straight face terrorist attack weekend caused Donald J Trump,half-true,-0.7845
Whether like admit half general revenue go education,true,0.5106
By time I finish speech two Americans slain six woman raped 27 u robbed 50 beaten,mostly-true,-0.8126
Darryl Hicks seven ethic violation didnt pay fine,half-true,-0.5417
The word progressive  was created substitute for ‘communist’,false,0.25
Says poll 2016 candidate leadership skill come two three four time higher anybody else,half-true,0.0
By using littleknown loophole  Obama minion allowing Nestle Company export precious fresh water Lake Michigan,mostly-false,0.7184
Says Obama flipflopped banning handgun,half-true,0.0
The 3 red stripe Joe Biden’s campaign logo refer Chinese socialist slogan,pants-fire,0.0
Obamacare hit Americans 500 billion new tax,half-true,0.0
Undocumented driver protection US citizen don’t receive Green light bill,false,0.0
You go Georgia make 6000 year teacher,true,0.0
The Iranians continue – view every objective observer – continue pursue acquisition nuclear weapon,false,-0.296
A photo of burned cat Australia wildfire,mostly-false,0.0
Wisconsin deadlast creating new business three year row,half-true,0.296
The EPA asked environmental citation city landfill Nashua NH didn’t know cited,mostly-true,0.6037
I wrote Secretary Paulson I wrote Federal Reserve Chairman Bernanke March 2007 told something deal nobody anything,half-true,0.0
Says Beto O’Rourke open abolishing ICE,mostly-true,0.0
The minimum wage risen 235 last two year Thats 31 percent,false,0.0
There ‘backlog’ untested rape kit Wisconsin,pants-fire,-0.6908
There 63 million abortion year country,false,0.0
Ted Cruz unknown vast majority Texans,mostly-false,0.0
Sen Obama declared repeatedly reaffirmed intention meet president Iran without precondition,true,0.0
Children teen suicide attempt skyrocketed 250 2020 according one study done hospital,mostly-false,-0.6705
According US Census Bureau 712 percent Hispanic registered voter Texas 86 percent African American registered voter participated 2012 election,mostly-true,-0.3818
Rick Santorum say Rick Perry requested 1200 earmark governor Texas,pants-fire,0.0
A wind turbine could never generate much energy invested building,false,-0.2057
During administration example boosted US export Canada Mexico 50 percent That support 28 million American job,mostly-false,0.6369
We saw true danger FCCs net neutrality repeal Verizon caught throttling California fire fighter,half-true,-0.34
Scott Walker 23 GPA asked leave Marquette University cheating,false,-0.5859
I saw father march Martin Luther King,mostly-false,0.0
Says 2012 first year American history minority born people majority,half-true,0.0
A proposed constitutional amendment pave way making abortion illegal North Carolina’s constitution,pants-fire,-0.5574
‘Simple math’ show Biden claim 13 million vote eligible voter voted 2020 election,pants-fire,0.0
Heidi Cruz Ted’s wife managing director Goldman Sachs They oversee Texas utility,mostly-false,0.0
Monkeypox biological warfare u government,false,-0.296
Were major oilproducing nation world selfimposed ban exporting crude oil nation,mostly-true,-0.8074
A Florida judge ruled part Obamacare unconstitutional,mostly-true,0.0
So far year student killed school soldier combat zone,mostly-true,-0.7845
Say Nancy Pelosi’s net worth 196299990,false,0.2263
