verdict,statement,sentiment
true,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",0.0
false,"""Bennie Thompson actively cheer-led riots in the ’90s.""",-0.25
mostly-true,"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",0.0
false,"""BUSTED: CDC Inflated COVID Numbers, Accused of Violating Federal Law""",-0.6908
half-true,"""I'm the only (Republican) candidate that has actually reduced the size of government.""",0.0
true,"""There are actually only 30 countries that practice birthright citizenship.""",0.0
false,"""My husband and I have never gotten a penny of money from the farm.""",0.0
true,"""If you go strictly by the numbers, crime is down across the board. Last year we had a 10 percent decrease in the most serious crimes.""",-0.624
mostly-true,"""The American people say, don't touch Social Security, don't touch Medicare, don't cut defense. That's 84 percent of the federal budget.""",-0.1511
true,"""Since 1978, CEO compensation rose over 1,000% and only 11.9% for average workers.""",0.0
pants-fire,"Says her accomplishments include ""a fiscally responsible budget agreement that controls state spending.""",0.6705
false,"Says President Obama’s deal ""allows Iran to produce a nuclear weapon.""",0.0
mostly-true,"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",-0.2732
false,"""At least 450,000 ballots in the key states ... miraculously only have a mark for Joe Biden on them, and no other candidate.""",-0.296
mostly-true,"""More than 70 percent of American adults have committed a crime that could lead to imprisonment.""",-0.34
pants-fire,"Says the stimulus bill sent tax credits overseas, such as ""$1.2 billion to a solar company that's building a plant in Mexico.""",0.3612
mostly-false,"Tampa Bay is ""leading the state in jobs creation.""",0.0
mostly-false,"Says Raphael Warnock has ""said we need to open up the prisons"" and ""eliminate cash bail.""",0.0
pants-fire,"The IRS is going to be ""in charge"" of ""a huge national database"" on health care that will include Americans’ ""personal, intimate, most close-to-the-vest-secrets.""",0.6705
false,"""Newly discovered video shows late night deliveries of tens of thousands of illegal ballots 8 hours after deadline.""",-0.5574
mostly-true,"Says Donald Trump ""literally has no plans to make higher education more affordable.""",-0.296
pants-fire,"Post says a recent bill passed, and ""We get another stimulus check for $2500 at July 30, 2021""",0.0
false,"With voting by mail, ""you get thousands and thousands of people sitting in somebody's living room, signing ballots all over the place.""",0.0
mostly-false,"During his governorship, Virginia made ""the largest investment ever in K-12 education.""",0.0
mostly-true,"""In the entire public school system in Camden last year, only three students graduated college ready.""",0.0
false,"Says he is ""cutting illegal immigration in half.""",-0.6249
true,"""There is racism physically built into some of our highways.""",-0.6249
mostly-true,"Austin has ""over 1,000 city employees that make six-figure salaries.""",0.0
mostly-true,"Says Marco Rubio ""has a 98 percent voting record with the Koch brothers.""",0.0
pants-fire,"Says John Bolton ""fundamentally was a man of the left.""",0.0
false,"A German doctor discovered the COVID-19 vaccines include graphene oxide or graphene hydroxide, and the full list of ingredients is secret because of the emergency use authorization.",-0.3818
false,Says he lived in a colonia while working as a farm worker.,0.0
mostly-true,"""The Republicans have demanded deep cuts in education. They've demanded cuts in cancer research and other research to find cures and treatments to diseases.""",-0.891
false,"""75% of Republicans have been vaccinated"" against COVID-19 in Illinois.",0.0
mostly-true,"""Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.""",0.296
mostly-true,"""When I become the nominee, the Democratic nominee, I will be the only pro-choice candidate on the ballot.""",0.0
true,"Financial conflict-of-interest ""laws don't apply to the president, right? So, the president doesn't have to have a blind trust.""",-0.4019
false,"Says ""J.B. Pritzker’s tax plan"" includes a ""new tax per mile you drive with government tracking device.""",0.0
mostly-true,"""Given how expansive our program already was,"" expanding Medicaid in New Jersey due to Obamacare ""was a relatively small expansion.""",0.0
true,"Says a federal judge ""sanctions Tennessee ‘birther’ lawyer … for bringing a frivolous lawsuit.""",0.0
false,"On new dollar coins, ""'In God We Trust' is gone!""",0.69
false,"Says ""over 1 million signatures"" were submitted in attempt to recall Gov. Scott Walker.",0.0
mostly-true,"""All the billionaires in America, their net worth combined … has increased by $800 billion"" during the pandemic.",0.4588
mostly-true,"African-Americans don't use drugs at a higher level than whites but ""wind up going to prison six times more.""",-0.6652
true,"""PWNED: House GOP Dominates Twitter, YouTube, Social Media in Congress.""",0.0516
half-true,"""This year, the federal government will have more revenue than any year in the history of our country.""",0.0
pants-fire,Says ex-Minneapolis officer accused of killing George Floyd commits suicide in prison cell.,-0.936
false,"""59 percent of Americans today believe that Barack Obama is still a Muslim.""",0.0
mostly-false,The average age of planes in the Qatar Airways fleet is about four years while Delta Air Lines flies planes that are 35 years old.,0.0
half-true,"Louisiana’s film incentives program is so big ""they actually shot an upcoming film initially titled ‘Don’t Mess With Texas’ in New Orleans!""",-0.126
half-true,"Hillary Clinton said, ""with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump""",-0.7717
true,"""Whether you like to admit it or not, half our general revenue goes to education.""",0.5106
mostly-true,"""By the time I finish this speech, two Americans will be slain, six women will be raped, 27 of us will be robbed, and 50 more will be beaten.""",-0.6808
half-true,Darryl Hicks had seven ethics violations and didn't pay most of the fines.,-0.4774
