statement,verdict,sentiment
John McCain opposed bankruptcy protection family bankruptcy medical expense couldnt pay,true,0.0762
Bennie Thompson actively cheerled riot ’90s,false,0.0516
Says Maggie Hassan state 30 day last three month,true,0.0
BUSTED CDC Inflated COVID Numbers Accused Violating Federal Law,false,-0.6908
There actually 30 country practice birthright citizenship,true,0.0
My husband I never gotten penny money farm,false,0.0
If go strictly number crime across board Last year 10 percent decrease serious crime,true,-0.7906
The American people say dont touch Social Security dont touch Medicare dont cut defense Thats 84 percent federal budget,true,-0.1511
Since 1978 CEO compensation rose 1000 119 average worker,true,0.0
Says accomplishment include fiscally responsible budget agreement control state spending,false,0.6705
Says President Obama’s deal allows Iran produce nuclear weapon,false,-0.296
Says Donald Trump say climate change hoax invented Chinese,true,-0.2732
At least 450000 ballot key state  miraculously mark Joe Biden candidate,false,0.0
More 70 percent American adult committed crime could lead imprisonment,true,-0.34
Says stimulus bill sent tax credit overseas 12 billion solar company thats building plant Mexico,false,0.3818
The IRS going charge huge national database health care include Americans’ personal intimate closetothevestsecrets,false,0.6705
Newly discovered video show late night delivery ten thousand illegal ballot 8 hour deadline,false,-0.5574
Says Donald Trump literally plan make higher education affordable,true,0.0
Post say recent bill passed We get another stimulus check 2500 July 30 2021,false,0.0
With voting mail get thousand thousand people sitting somebody living room signing ballot place,false,0.0
In entire public school system Camden last year three student graduated college ready,true,0.3612
Says is cutting illegal immigration half,false,-0.6249
There racism physically built highway,true,-0.6249
Austin 1000 city employee make sixfigure salary,true,0.0
Says Marco Rubio 98 percent voting record Koch brother,true,0.0
Says John Bolton fundamentally man left,false,0.0
A German doctor discovered COVID19 vaccine include graphene oxide graphene hydroxide full list ingredient secret emergency use authorization,false,-0.3818
Says lived colonia working farm worker,false,0.0
The Republicans demanded deep cut education Theyve demanded cut cancer research research find cure treatment disease,true,-0.886
75 Republicans vaccinated COVID19 Illinois,false,0.0
Creating 25 job Umatilla County impact 500 job metro region,true,0.296
When I become nominee Democratic nominee I prochoice candidate ballot,true,0.0
Financial conflictofinterest law dont apply president right So president doesnt blind trust,true,-0.0465
Says JB Pritzker’s tax plan includes new tax per mile drive government tracking device,false,0.0
Given expansive program already expanding Medicaid New Jersey due Obamacare relatively small expansion,true,0.0
Says federal judge sanction Tennessee ‘birther’ lawyer … bringing frivolous lawsuit,true,-0.2263
On new dollar coin In God We Trust gone,false,0.6597
Says 1 million signature submitted attempt recall Gov Scott Walker,false,0.0
All billionaire America net worth combined … increased 800 billion pandemic,true,0.4588
AfricanAmericans dont use drug higher level white wind going prison six time,true,-0.5106
PWNED House GOP Dominates Twitter YouTube Social Media Congress,true,0.0516
Says exMinneapolis officer accused killing George Floyd commits suicide prison cell,false,-0.936
59 percent Americans today believe Barack Obama still Muslim,false,0.0
Whether like admit half general revenue go education,true,0.5106
By time I finish speech two Americans slain six woman raped 27 u robbed 50 beaten,true,-0.8126
The word progressive  was created substitute for ‘communist’,false,0.25
The 3 red stripe Joe Biden’s campaign logo refer Chinese socialist slogan,false,0.0
Undocumented driver protection US citizen don’t receive Green light bill,false,0.0
You go Georgia make 6000 year teacher,true,0.0
The Iranians continue – view every objective observer – continue pursue acquisition nuclear weapon,false,-0.296
The EPA asked environmental citation city landfill Nashua NH didn’t know cited,true,0.6037
Says Beto O’Rourke open abolishing ICE,true,0.0
The minimum wage risen 235 last two year Thats 31 percent,false,0.0
There ‘backlog’ untested rape kit Wisconsin,false,-0.6908
There 63 million abortion year country,false,0.0
Sen Obama declared repeatedly reaffirmed intention meet president Iran without precondition,true,0.0
According US Census Bureau 712 percent Hispanic registered voter Texas 86 percent African American registered voter participated 2012 election,true,-0.3818
Rick Santorum say Rick Perry requested 1200 earmark governor Texas,false,0.0
A wind turbine could never generate much energy invested building,false,-0.2057
Scott Walker 23 GPA asked leave Marquette University cheating,false,-0.5859
A proposed constitutional amendment pave way making abortion illegal North Carolina’s constitution,false,-0.5574
‘Simple math’ show Biden claim 13 million vote eligible voter voted 2020 election,false,0.0
Monkeypox biological warfare u government,false,-0.296
Were major oilproducing nation world selfimposed ban exporting crude oil nation,true,-0.8074
A Florida judge ruled part Obamacare unconstitutional,true,0.0
So far year student killed school soldier combat zone,true,-0.7845
Say Nancy Pelosi’s net worth 196299990,false,0.2263
The budget currently debated significantly decrease use onetime resource,true,0.0
One inaccuracy  is raised tax multiple time run budget Absolutely true One tax increase since I’ve office It quarter mill tax unincorporated area,false,0.659
Its true since he president execution Iran increased four time,false,0.5994
Say easing restriction selling alcohol Sundays result traffic crash fatality,false,-0.8074
To deprive underprivileged child meatbased protein school lunch likely depriving source protein day,false,-0.7269
We recognize salary faculty lowest New England exception University Maine,true,-0.3818
Research Japan show ivermectin effective omicron Phase III trial,false,0.4767
A New York law make perfectly legal murder baby minute would born,false,0.0
The IRS going charge health care,false,0.4939
This year West Virginia produced AmeriCorps member state,true,0.0
Ive taken federal government,true,0.0
Unlike gridlock Washington 80 percent bill passed General Assembly bipartisan support,true,0.4019
The ice cap going melt going gone they’re setting record okay they’re record level,false,0.2263
Says 1000 people failed gun background check Wisconsin 2018 almost none prosecuted trying background check illegally buy weapon,true,-0.7179
Registered Republican allowed vote,false,0.0
Says Bernie Sanders popular politician America today,true,0.4215
Says Dontre Hamilton killed confrontation Milwaukee police officer unarmed,true,-0.7783
Adam Laxalt want restrict worked limit access birth control,true,-0.3182
Over half black worker country earn le 15 hour,true,0.0
Says national health care law put federal bureaucrat American citizen doctor,false,0.4939
Says John Wayne said If don’t want American flag flying town square school hell living US,false,-0.6486
When Obama interviewed American reporter Asia Not one asked Asia Not one asked economy,false,0.0
David Cicilline state representative opposed tough mandatory sentence convicted domestic violence  and child abuse,true,-0.8481
Says Adolf Hitler didnt even sink to the level using chemical weapons  He using gas people way Bashar alAssad,false,-0.4404
Texas 50th nation mental health care access,true,0.4939
Quotes Ronald Reagan saying Keep voting Democrat  One day restrict freedom restrict history restrict safety All name professional victim dont understand consequence ignorance,false,0.0541
Nobodys addicted marijuana,false,0.0
Says unlike Texas Missouri perfect AAA credit rating,true,0.743
Austin’s fastestgrowing city country last five year,true,0.0
